Interface,Pin,Direction,Electrical_Notes,Safe_State
POWER,VM,input,"6-12.6 V application target; profile permits 4-18 V","power removed"
POWER,GND,return,"power and logic reference; use low-impedance plane","0 V"
CONTROL,AIN1,input,"push-pull MCU control; DRV8848 tri-level input","nSLEEP low disables bridge"
CONTROL,AIN2,input,"push-pull MCU control; DRV8848 tri-level input","nSLEEP low disables bridge"
CONTROL,BIN1,input,"push-pull MCU control; internal pulldown in IC","low"
CONTROL,BIN2,input,"push-pull MCU control; internal pulldown in IC","low"
CONTROL,nSLEEP,input,"logic high enables; internal pulldown","low / disabled"
CONTROL,nFAULT,output,"open-drain; pull up to VLOGIC through R_NFAULT","low on fault"
CONTROL,VREF,input,"reference design ties to VINT; breakout permits future external reference","VINT"
CONTROL,VLOGIC,input,"external 3.3/5 V rail only for nFAULT pull-up/header","application defined"
MOTOR_A,AOUT1,output,"high-current switching node","Hi-Z when asleep/faulted"
MOTOR_A,AOUT2,output,"high-current switching node","Hi-Z when asleep/faulted"
MOTOR_B,BOUT1,output,"high-current switching node","Hi-Z when asleep/faulted"
MOTOR_B,BOUT2,output,"high-current switching node","Hi-Z when asleep/faulted"
